"Año","Tipo de delito","total","Población total","tasa"
2015,"Aborto",24,2931124,0.008187985223416
2015,"Abuso de confianza",535,2931124,0.182523837271982
2015,"Abuso sexual",158,2931124,0.0539042360541553
2015,"Acoso sexual",118,2931124,0.0402575940151287
2015,"Allanamiento de morada",295,2931124,0.100643985037822
2015,"Amenazas",1928,2931124,0.657768146281085
2015,"Contra el medio ambiente",5,2931124,0.00170583025487833
2015,"Corrupción de menores",19,2931124,0.00648215496853767
2015,"Daño a la propiedad",1782,2931124,0.607957902838638
2015,"Delitos cometidos por servidores públicos",2,2931124,0.000682332101951333
2015,"Despojo",640,2931124,0.218346272624427
2015,"Electorales",0,2931124,0
2015,"Evasión de presos",0,2931124,0
2015,"Extorsión",42,2931124,0.014328974140978
2015,"Falsedad",75,2931124,0.025587453823175
2015,"Falsificación",98,2931124,0.0334342729956153
2015,"Feminicidio",0,2931124,0
2015,"Fraude",898,2931124,0.306367113776149
2015,"Homicidio",651,2931124,0.222099099185159
2015,"Hostigamiento sexual",6,2931124,0.002046996305854
2015,"Incesto",1,2931124,0.000341166050975667
2015,"Incumplimiento de obligaciones de asistencia familiar",633,2931124,0.215958110267597
2015,"Lesiones",3693,2931124,1.25992622625314
2015,"Narcomenudeo",111,2931124,0.037869431658299
2015,"Otros delitos contra el patrimonio",7,2931124,0.00238816235682967
2015,"Otros delitos contra la familia",0,2931124,0
2015,"Otros delitos contra la sociedad",0,2931124,0
2015,"Otros delitos del Fuero Común",2281,2931124,0.778199762275496
2015,"Otros delitos que atentan contra la libertad personal",798,2931124,0.272250508678582
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual",81,2931124,0.027634450129029
2015,"Otros delitos que atentan contra la vida y la integridad corporal",92,2931124,0.0313872766897613
2015,"Rapto",1,2931124,0.000341166050975667
2015,"Robo",9866,2931124,3.36594425892593
2015,"Secuestro",19,2931124,0.00648215496853767
2015,"Trata de personas",2,2931124,0.000682332101951333
2015,"Tráfico de menores",1,2931124,0.000341166050975667
2015,"Violación",348,2931124,0.118725785739532
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,2931124,0
2015,"Violencia familiar",2294,2931124,0.782634920938179
2016,"Aborto",7,2971554,0.00235566979432311
2016,"Abuso de confianza",656,2971554,0.220759912153708
2016,"Abuso sexual",334,2971554,0.112399101614845
2016,"Acoso sexual",7,2971554,0.00235566979432311
2016,"Allanamiento de morada",257,2971554,0.0864867338772911
2016,"Amenazas",2486,2971554,0.836599301241034
2016,"Contra el medio ambiente",0,2971554,0
2016,"Corrupción de menores",19,2971554,0.00639396087030557
2016,"Daño a la propiedad",2892,2971554,0.973228149311774
2016,"Delitos cometidos por servidores públicos",1,2971554,0.000336524256331872
2016,"Despojo",714,2971554,0.240278319020957
2016,"Electorales",9,2971554,0.00302871830698685
2016,"Evasión de presos",1,2971554,0.000336524256331872
2016,"Extorsión",80,2971554,0.0269219405065498
2016,"Falsedad",117,2971554,0.039373337990829
2016,"Falsificación",132,2971554,0.0444212018358071
2016,"Feminicidio",22,2971554,0.00740353363930119
2016,"Fraude",1207,2971554,0.40618477739257
2016,"Homicidio",653,2971554,0.219750339384713
2016,"Hostigamiento sexual",52,2971554,0.0174992613292574
2016,"Incesto",24,2971554,0.00807658215196493
2016,"Incumplimiento de obligaciones de asistencia familiar",731,2971554,0.245999231378599
2016,"Lesiones",4337,2971554,1.45950569971133
2016,"Narcomenudeo",187,2971554,0.0629300359340601
2016,"Otros delitos contra el patrimonio",0,2971554,0
2016,"Otros delitos contra la familia",1,2971554,0.000336524256331872
2016,"Otros delitos contra la sociedad",0,2971554,0
2016,"Otros delitos del Fuero Común",2150,2971554,0.723527151113525
2016,"Otros delitos que atentan contra la libertad personal",1379,2971554,0.464066949481652
2016,"Otros delitos que atentan contra la libertad y la seguridad sexual",53,2971554,0.0178357855855892
2016,"Otros delitos que atentan contra la vida y la integridad corporal",292,2971554,0.0982650828489067
2016,"Rapto",1,2971554,0.000336524256331872
2016,"Robo",11403,2971554,3.83738609495234
