"Municipio","Año","Tipo de delito","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","total"
"Acatlán",2015,"Aborto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Abuso de confianza",0,0,0,0,0,0,0,0,1,0,0,0,1
"Acatlán",2015,"Abuso sexual",0,0,0,0,2,0,0,0,0,0,0,0,2
"Acatlán",2015,"Acoso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"Acatlán",2015,"Allanamiento de morada",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Amenazas",3,1,0,0,1,3,0,1,2,0,0,0,11
"Acatlán",2015,"Contra el medio ambiente",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Corrupción de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Daño a la propiedad",1,0,0,2,1,1,0,0,0,0,0,0,5
"Acatlán",2015,"Delitos cometidos por servidores públicos",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Despojo",0,0,0,1,1,0,0,0,0,0,0,0,2
"Acatlán",2015,"Electorales",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Evasión de presos",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Extorsión",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Falsedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Falsificación",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Fraude",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Homicidio",0,0,0,0,0,0,0,2,0,0,1,0,3
"Acatlán",2015,"Hostigamiento sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"Acatlán",2015,"Incesto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2015,"Incumplimiento de obligaciones de asistencia familiar",0,0,0,0,3,0,1,0,1,0,2,0,7
"Acatlán",2015,"Lesiones",0,2,0,2,3,1,0,0,0,0,0,0,8
